=== appendix 15 · gazette page 214 · pdf page 1 ===
Appendix-15: Use zones across different master plans
214

--- table 0 (48 rows × 7 cols) ---
 | Sl. No. | 1 | 2 | 3 | 4 | 5
# | Development Authority/ | Ayodhya | Bareilly | Muzaffarnagar | Gorakhpur | Khurja
[#D9E1F2] | Use Zone | [#002060] | [#002060] | [#002060] | [#002060] | [#002060]
1 | Built up | Built-up | Built-up | Built-up | Built-up | Built-up
[#D9E1F2] | [#D9E1F2] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC] | [#FFF2CC]
2 | Residential | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW]
[#D9E1F2] | [#D9E1F2] | [YELLOW] | [YELLOW] | [YELLOW] | [YELLOW] | [YELLOW]
3 | Mixed Use 1&2 | Mixed Use | NIL | NIL | NIL | NIL
[#D9E1F2] | [#D9E1F2] | [#F8CBAD] |  |  |  | 
4 | Commercial 1-Retail /CBD /Sub- | Commercial | C1- City Centre/ Sub- City Centre | Commercial Bazaar Marg | C1- Bazaar Marg/ Commercial Centre | Commercial
[#D9E1F2] | CBD /Bazaar Street | [#BDD7EE] | C3 -Bazaar Marg | [#BDD7EE] | C2- City Centre/ Sub- City Centre | Bazaar Street
 | [#D9E1F2] |  | [#BDD7EE] |  | [#BDD7EE] | [#BDD7EE]
5 | Commercial 2-Wholesale/ | NIL | C2- Wholesale / Storage | NIL | C3- Wholesale / Storage/godown | Warehouse/Mandi
[#D9E1F2] | Godown | [#D9E1F2] | [#5B9BD5] | [#D9E1F2] | /Warehousing | [#5B9BD5]
6 | Small Industries | Industries | Small Industries | IT Park | Small Industries | NIL
[#D9E1F2] | [#D9E1F2] | [#CCCCFF] | [#CCCCFF] | [#CCCCFF] | [#CCCCFF] | 
7 | Large Industries | NIL | Large Industries | Industries | Medium/Large Industries | Industries
[#D9E1F2] | [#D9E1F2] |  | [#CCCCFF] | [#CCCCFF] | [#CCCCFF] | [#CCCCFF]
8 | Office Buildings | Offices | Offices | Offices | Offices | Offices
[#D9E1F2] | [#D9E1F2] |  |  |  |  | 
9 | Public & Semi-public | Public & Semi-public Facilities | Community Facilities / Utilities | Public Facilities | 1-Public & Semi-public Facilities | Public Semi-Public Facilities & Utilities
[#D9E1F2] | [#D9E1F2] | Historical Places | Educational Institution | Public Utilities | (Educational, Healthcare Facilities, Hospital) | [#FFF2CC]
 |  | Religious Places | Hospital | Ganna Shodh Kendra | 2-Social & Religious Institution-Community | 
 |  | [#FFF2CC] | Water works /Power Station | Medical/ Medicity | Facilities, Radio Station /Doordarshan | 
 |  |  | Radio Station /Doordarshan | Vidyut Kendra | 3-Public utilities & services-Sewage Farm, | 
 |  |  | Treatment Plant / Dumping Ground | Landfill | SWM, Electrical sub station | 
 |  |  | Sewage Farm | [#FFF2CC] | [#FFF2CC] | 
 |  |  | [#FFF2CC] |  |  | 
10 | Transport 1&2, Parking | Transport Facility | T1 - Bus terminal/Truck terminal | Bust Station | Transport centre/Bus terminal/ Truck | Bus Terminal /Truck Terminal
[#D9E1F2] | [#D9E1F2] | Bus Stand | T2 - Marg | Transport Nagar | terminal | [#D6DCE4]
 |  | [#D6DCE4] | Parking Areas | Railways | [#D6DCE4] | 
 |  |  | [#D6DCE4] | [#D6DCE4] |  | 
11 | Forest | NIL | Garden | NIL | NIL | Forest
[#D9E1F2] | [#D9E1F2] |  | Forest |  |  | [#C6E0B4]
12 | Recreational 1&2 | Park and Open Spaces | P1 - Recreational Park / Zonal Park | Park and Open Areas | Park / Open Spaces/Recreational Area | Park & Open Spaces
[#D9E1F2] | [#D9E1F2] | Fair Ground and Garden | P2 - Park / District Park / Exhibition | Baagh & Udyaan | [#A9D08E] | [#A9D08E]
 |  | [#A9D08E] | Park / Mela / Rally Ground | Regional Park |  | 
 |  |  | [#A9D08E] | Stadium |  | 
 |  |  |  | [#A9D08E] |  | 
13 | Green belt | Green Belt | Green Belt | Green Belt | Green Belt | Green Belt
[#D9E1F2] | [#D9E1F2] | [#A9D08E] | [#A9D08E] | [#A9D08E] | [#A9D08E] | [#A9D08E]
14 | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi; Future expansion
15 | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture
[#D9E1F2] | [#D9E1F2] | [#A9D08E] | [#A9D08E] | [#A9D08E] | [#A9D08E] | [#A9D08E]
16 | Highway Facilities | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone
[#D9E1F2] | [#D9E1F2] | [#D0CECE] | [#D0CECE] | [#D0CECE] | [#D0CECE] | [#D0CECE]
17 | Additional Land use |  |  |  |  | 
[#D9E1F2] | [#D9E1F2] |  |  |  |  | 

=== appendix 15 · gazette page 215 · pdf page 2 ===
Appendix-15 (part-2)
215

--- table 0 (39 rows × 7 cols) ---
 | Sl. No. | 6 | 7 | 8 | 9 | 10
# | Development Authority/ | Bulandshahr | Basti | Meerut | Saharanpur | Moradabad
[#D9E1F2] | Use Zone | [#002060] | [#002060] | [#002060] | [#002060] | [#002060]
1 | Built up | Built-up | Built-up | Built-up | Built-up | Built-up
2 | Residential | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW]
3 | Mixed Use 1&2 | NIL | NIL | Mixed Use | NIL | NIL
4 | Commercial 1-Retail /CBD /Sub-CBD | Commercial | C1- Bazaar Marg/ Commercial Centre | Commercial | Bazaar Street/ Bazaar Area | (C-1)- City Centre/ Central Commercial
